epoch,epoch_loss,lie_loss,lmi_loss,eta_loss
0,3746842.3843533066,4.47546687210032e-12,-292.0404821192483,0.0
1,268395.68314879993,3.9986733542385355e-12,-293.0749751859739,0.0
2,264408.8097824994,4.3140100866589925e-12,-294.06426543304565,0.0
3,258081.4297284308,4.1374937330418415e-12,-295.0307392282661,0.0
4,255764.49291412154,4.275018273408593e-12,-295.96747525110214,0.0
5,251147.39586197125,4.2399629814060535e-12,-296.8733273769083,0.0
6,249114.5663911424,4.244637627492942e-12,-297.74926222845806,0.0
7,245057.20332862824,4.061675908800799e-12,-298.5967448265327,0.0
8,240809.70439775937,3.937822290467352e-12,-299.4168326841717,0.0
9,238132.26262637426,3.836104611049107e-12,-300.21116162870294,0.0
10,235000.20346339582,3.811795063618506e-12,-300.98082715981644,0.0
11,232949.484345745,3.5725068736613963e-12,-301.72719328900126,0.0
12,229193.09037860265,3.3187914222354564e-12,-302.45084524980075,0.0
13,227077.99761433323,3.3240237819198715e-12,-303.15243743776574,0.0
14,222851.84940978524,3.23085915659993e-12,-303.83343431399857,0.0
15,218687.9234425728,3.4123624065296454e-12,-304.4945580132498,0.0
16,216114.22168312754,3.3920127991138305e-12,-305.13592087212714,0.0
17,212336.4493102534,3.4003234256063664e-12,-305.7587670171822,0.0
18,208967.57754992903,3.375958367024534e-12,-306.36331299639505,0.0
19,204445.01572963977,3.1695726772362764e-12,-306.94977931225964,0.0
20,200662.01235942508,3.4123528655505275e-12,-307.51925955199704,0.0
21,198092.28107149803,3.6270287988304784e-12,-308.0713500821172,0.0
22,193214.6022437826,3.5210233166604876e-12,-308.60690827717156,0.0
23,190021.65870403047,3.6964966677877076e-12,-309.12601200981396,0.0
24,184645.1660415586,3.711297762165611e-12,-309.629645022374,0.0
25,179650.90732092745,3.759952852538939e-12,-310.11777948344246,0.0
26,175864.68491389992,3.873862168546349e-12,-310.5916971921952,0.0
27,173712.07029298996,3.790137041020936e-12,-311.0485502752951,0.0
28,166903.58374913735,4.0060129692653934e-12,-311.49366563005367,0.0
29,161255.13157832943,3.962268447371686e-12,-311.9224296882191,0.0
30,156905.7436561258,3.9653983222032174e-12,-312.3381881867739,0.0
31,153335.31158020793,4.354226181002563e-12,-312.73910781940435,0.0
32,148221.81314699329,4.376934578664837e-12,-313.12579932285706,0.0
33,143369.31994555154,4.627507578514045e-12,-313.5019832050904,0.0
34,138461.04313147778,4.696927742575685e-12,-313.8635606284542,0.0
35,133675.1040322542,5.064444957153524e-12,-314.2153128215623,0.0
36,130545.82651840882,5.054359274864195e-12,-314.55497208499986,0.0
37,127745.24817529025,5.328563978945766e-12,-314.88260204155915,0.0
38,121774.33254672652,5.365646295329984e-12,-315.19786568125403,0.0
39,119431.49444918626,5.526694987073588e-12,-315.5064997867785,0.0
40,118068.76561572215,5.737850732739913e-12,-315.8063826906035,0.0
