epoch,epoch_loss,lie_loss,lmi_loss,eta_loss
0,104.13669091785886,5.809155240177333e-15,-2.9157963319512348,0.7161170123548616
1,119.4979122213826,9.610368056911511e-15,-2.9158976537367494,0.4601170123548614
2,190.70149897036828,1.5640266859406893e-14,-2.915998540208653,0.20411701235486113
3,223.43410359370628,2.285671651947041e-14,-2.916099057278865,0.011286566360894021
4,223.43534644638896,2.391142839286431e-14,-2.9161982195389924,0.0
5,219.8006336924413,2.2391810627908626e-14,-2.916296617519743,0.0
6,219.1062270339845,2.2551405187698492e-14,-2.916397173415837,0.0
7,217.55496766649236,2.2870594307278225e-14,-2.9165015590340153,0.0
8,217.80917961296515,2.2801205368239152e-14,-2.9166050788270996,0.0
9,217.3806983095257,2.2988555503644648e-14,-2.9167054855523826,0.0
10,217.08567361524206,2.2370993946196904e-14,-2.9168060430794966,0.0
11,217.11535016883073,2.253058850598677e-14,-2.9169080263343647,0.0
12,217.4406606317241,2.3578361485476762e-14,-2.9170101354401665,0.0
13,217.32829671627377,2.2419566203524255e-14,-2.9171110273699745,0.0
14,217.6362556196663,2.1892210266827306e-14,-2.917212026496418,0.0
15,217.1144736914729,2.1517509996016315e-14,-2.917313540380726,0.0
16,217.6943478627274,2.2065682614424986e-14,-2.917415045574218,0.0
17,217.15123342142067,2.2676305277968822e-14,-2.9175154300267137,0.0
18,217.89306716362893,2.2627733020641472e-14,-2.9176149647053053,0.0
19,217.3702983302881,2.2898349882893854e-14,-2.917716171326562,0.0
20,217.60745209626947,2.3890611711152587e-14,-2.9178177746845058,0.0
21,217.30209977488016,2.3425705819590803e-14,-2.9179183001471807,0.0
22,217.1779349828436,2.2370993946196904e-14,-2.918018628494853,0.0
23,217.27649245103296,2.1295465391091284e-14,-2.9181196890276344,0.0
24,217.372595573805,2.4077961846558082e-14,-2.918222125060087,0.0
25,217.16587850303617,2.2745694217007895e-14,-2.9183234255947657,0.0
26,217.80571605760213,2.3425705819590803e-14,-2.9184248580666714,0.0
27,217.6454768752858,2.2551405187698492e-14,-2.9185253187314624,0.0
28,217.9889229578343,2.2461199566947698e-14,-2.918627144846481,0.0
29,219.60838682605788,2.2599977445025843e-14,-2.918728568496059,0.0
30,217.676680233945,2.2995494397548555e-14,-2.918827511076074,0.0
31,217.47211675437686,2.3703261575747092e-14,-2.918926188135283,0.0
32,217.24726500355055,2.3370194668359545e-14,-2.9190272970662328,0.0
33,217.2588865069721,2.4868995751603507e-14,-2.919128750310623,0.0
34,217.12703792396866,2.237793284010081e-14,-2.9192295090084603,0.0
35,217.37232198396237,2.3925306180672123e-14,-2.919330452622773,0.0
36,217.3284851926769,2.2676305277968822e-14,-2.9194306527151377,0.0
37,217.61614216340203,2.298161660974074e-14,-2.9195317184161738,0.0
38,218.46989743781506,2.3814283878209608e-14,-2.9196323796603534,0.0
39,217.22581767237682,2.1212198664244397e-14,-2.919733942238528,0.0
40,217.43267726685912,2.2815083156046967e-14,-2.919833591129812,0.0
41,218.6847981128029,2.360611706109239e-14,-2.9199337066337825,0.0
42,217.6260163271967,2.388367281724868e-14,-2.9200347681728176,0.0
43,218.1514392120124,2.145505995088115e-14,-2.9201361075281955,0.0
44,217.2618271287297,2.3543667015957226e-14,-2.920236798225068,0.0
45,217.79240145021376,2.248201624865942e-14,-2.9203366915545765,0.0
46,217.48276232809053,2.1746493494845254e-14,-2.920435370011822,0.0
47,217.79866192251734,2.210731597784843e-14,-2.9205345175038184,0.0
48,217.46711473237787,2.243344399133207e-14,-2.9206353014036286,0.0
49,217.60782063917685,2.2239154962022667e-14,-2.920735803695144,0.0
50,217.52398550295493,2.2794266474335245e-14,-2.9208362454091987,0.0
51,217.8690639812703,2.310651670001107e-14,-2.9209377997674713,0.0
52,217.27758498934577,2.2488955142563327e-14,-2.921039799195617,0.0
53,217.43983354157515,2.3488155864725968e-14,-2.921140130041246,0.0
54,218.09783175067415,2.3328561304936102e-14,-2.921239303014306,0.0
55,217.18359963497159,2.310651670001107e-14,-2.921338137115055,0.0
56,217.2541621655483,2.2343238370581275e-14,-2.9214375373427037,0.0
57,217.4505244445515,2.2690183065776637e-14,-2.921537686888905,0.0
58,217.4990440561064,2.3418766925686896e-14,-2.9216365765611574,0.0
59,217.1011207153443,2.4445723223465166e-14,-2.9217367011585385,0.0
60,217.23344403288843,2.3418766925686896e-14,-2.9218380624351785,0.0
61,218.04341254434405,2.2690183065776637e-14,-2.921939046866568,0.0
62,217.40696581533143,2.3141211169530607e-14,-2.922037973360363,0.0
63,217.63246280192368,2.2516710718178956e-14,-2.9221386187485185,0.0
64,217.17096636040205,2.3828161666017422e-14,-2.922238940391497,0.0
65,217.42694393268403,2.2988555503644648e-14,-2.922338211334279,0.0
66,217.5336090591484,2.2114254871752337e-14,-2.922439040085226,0.0
67,217.9706707442922,2.2225277174214852e-14,-2.9225387294495255,0.0
68,217.351918965644,2.2822022049950874e-14,-2.9226376798541254,0.0
69,217.19257379552425,2.453592884421596e-14,-2.9227366905337786,0.0
70,217.81447308883222,2.2593038551121936e-14,-2.922837718954989,0.0
71,217.40987643504118,2.2648549702353193e-14,-2.9229376652599433,0.0
72,217.6046154836985,2.300937218535637e-14,-2.923036286393122,0.0
73,217.06219002947162,2.2773449792623524e-14,-2.923134421935749,0.0
74,217.6101250305426,2.2842838731662596e-14,-2.9232340794867295,0.0
75,217.33038462283557,2.2870594307278225e-14,-2.9233356714003627,0.0
76,217.0708666954514,2.1864454691211677e-14,-2.9234357069494354,0.0
77,217.3246388783017,2.3848978347729144e-14,-2.9235361452981317,0.0
78,218.69607251300613,2.3113455593914978e-14,-2.9236363738243205,0.0
79,217.96230262636487,2.353672812205332e-14,-2.923737170666947,0.0
