epoch,epoch_loss,lie_loss,lmi_loss,eta_loss
0,109.82078516084071,1.2272734911666916e-14,-2.9142937568429232,0.7159209615236392
1,121.98757434823915,1.1931428067768479e-14,-2.914395264402188,0.4599209615236389
2,194.52989066596444,9.596490269103697e-15,-2.914497584018462,0.203920961523639
3,226.18085844430502,1.662558979376172e-14,-2.9146005597286697,0.011225300476137116
4,223.32152125481053,1.749989042565403e-14,-2.914702618437276,0.0
5,220.0232202146311,1.855460229904793e-14,-2.914803599224215,0.0
6,220.04636915274702,1.787459069646502e-14,-2.914905890711651,0.0
7,219.83696646913444,1.734723475976807e-14,-2.915009500442049,0.0
8,219.4139761704269,1.7819079545233762e-14,-2.9151134281920044,0.0
9,219.7204250814359,1.740274591099933e-14,-2.915217123863792,0.0
10,219.90852532676612,1.7957857423311907e-14,-2.9153207294165133,0.0
11,219.90758684624532,1.8346435481930712e-14,-2.9154245041588576,0.0
12,220.19216582825683,1.8332557694122897e-14,-2.9155287453945724,0.0
13,220.13885996839974,1.7513768213461844e-14,-2.915631075245643,0.0
14,220.159596986099,1.7263968032921184e-14,-2.9157302508233562,0.0
15,219.6851584115448,1.7361112547575885e-14,-2.9158304964800816,0.0
16,219.31502659345063,1.7055801215803967e-14,-2.9159328623406506,0.0
17,219.7352501018305,1.7291723608536813e-14,-2.916035260375931,0.0
18,219.45502726866926,1.8360313269738526e-14,-2.916138746698062,0.0
19,219.58622962711576,1.7860712908657206e-14,-2.9162421465117676,0.0
20,220.00282631956873,1.784683512084939e-14,-2.9163442017667975,0.0
21,220.24620181082418,1.765254609153999e-14,-2.9164461249539273,0.0
22,219.359950976344,1.837419105754634e-14,-2.9165468404471744,0.0
23,219.46605952928087,1.8263168755083825e-14,-2.916648716960042,0.0
24,219.8017340785866,1.84297022087776e-14,-2.91674976301013,0.0
25,219.4653584261799,1.6917023337725823e-14,-2.9168520048733737,0.0
26,219.39735107271898,1.7763568394002505e-14,-2.916954436407924,0.0
27,219.36442355263378,1.7610912728116546e-14,-2.9170579729394306,0.0
28,219.26195854881652,1.8082757513582237e-14,-2.917159367924316,0.0
29,219.2512880788532,1.7555401576885288e-14,-2.9172586913140135,0.0
30,219.70286306181987,1.774969060619469e-14,-2.917361276546877,0.0
31,219.56329428943516,1.7735812818386876e-14,-2.917463847004836,0.0
32,219.61209241979992,1.772193503057906e-14,-2.9175650995426556,0.0
33,219.83522938444867,1.7416623698807143e-14,-2.9176670631998847,0.0
34,219.4960465813926,1.8179902028236938e-14,-2.9177695214576103,0.0
35,219.43583521751242,1.8082757513582237e-14,-2.917872197839044,0.0
36,219.47223913054333,1.7208456881689926e-14,-2.917973177762135,0.0
37,219.43826298309367,1.749989042565403e-14,-2.918074712071617,0.0
38,219.58510501609697,1.790234627208065e-14,-2.918178473153311,0.0
39,219.729864838797,1.7361112547575885e-14,-2.918280806475095,0.0
40,219.42871647679874,1.7819079545233762e-14,-2.9183800825019888,0.0
41,219.3617786540601,1.8388068845354155e-14,-2.918481132771806,0.0
42,219.39705248960908,1.7666423879347803e-14,-2.918582552129556,0.0
43,219.31351908514569,1.700029006457271e-14,-2.918685191344088,0.0
44,219.65299582029544,1.7291723608536813e-14,-2.918786394642674,0.0
45,219.58545971671614,1.772193503057906e-14,-2.9188881761532564,0.0
46,219.43301618898641,1.772193503057906e-14,-2.9189906853834318,0.0
47,219.3850304734769,1.7458257062230587e-14,-2.91909211390892,0.0
48,219.63388182647677,1.8082757513582237e-14,-2.9191927909564863,0.0
49,219.41175366995722,1.709743457922741e-14,-2.919292886189246,0.0
50,219.40251283293313,1.7930101847696278e-14,-2.9193960000652317,0.0
51,219.2760391944052,1.8540724511240114e-14,-2.919497945806153,0.0
52,219.3073034947381,1.8332557694122897e-14,-2.9195988036020912,0.0
53,219.87133947572124,1.7513768213461844e-14,-2.91970060804793,0.0
54,220.19864941397984,1.7180701306074297e-14,-2.919802920655742,0.0
55,219.54356635769494,1.8263168755083825e-14,-2.919904644613839,0.0
56,219.5753993404964,1.7486012637846216e-14,-2.920005556046868,0.0
57,219.87300895479848,1.7555401576885288e-14,-2.920104835593608,0.0
58,219.41811583398527,1.734723475976807e-14,-2.920205621866479,0.0
59,219.38143685670644,1.8263168755083825e-14,-2.920307173324214,0.0
60,219.48934545454094,1.8568480086855743e-14,-2.9204079243340697,0.0
61,219.56619501373885,1.8041124150158794e-14,-2.92050871896978,0.0
62,219.8059756162678,1.7486012637846216e-14,-2.9206106906572424,0.0
